city,population,prop_pop,prop_cases
Santa Ana,332318,0.10825737864542596,0.1674624258692323
Anaheim,350365,0.11413644903106261,0.15479153734423126
Irvine,287401,0.09362501844640997,0.08355128231617193
Garden Grove,171644,0.05591550713538085,0.05293963947187095
Buena Park,81788,0.026643619920233324,0.048433200622222346
Orange,138669,0.045173425572441375,0.048115417516286514
Huntington Beach,199223,0.06489976391852893,0.044137085858326805
Costa Mesa,113003,0.03681235611393024,0.04232171044515607
Fullerton,138632,0.045161372289110706,0.03617971772161188
Tustin,79348,0.025848754749237954,0.03207634537492096
Westminster,90643,0.029528263809234966,0.031849457668963334
La Habra,60513,0.019712982005099515,0.03094268452386819
Stanton,38139,0.012424328998603448,0.01985022508982164
San Clemente,64558,0.02103069906111438,0.019373281849374854
Yorba Linda,67644,0.02203600804377492,0.018054721910957222
Lake Forest,85531,0.027862956123116796,0.016719761083051256
Fountain Valley,55357,0.018033340684750283,0.015149806970387996
Seal Beach,23896,0.007784466445125147,0.01507534969760145
Mission Viejo,94381,0.030745971190046725,0.013504475042971904
Laguna Hills,31207,0.010166130078382176,0.013327034632493453
Newport Beach,84534,0.02753816900201746,0.012514831581035554
Rancho Santa Margarita,47896,0.015602812389341901,0.011817934665445836
Laguna Woods,15850,0.005163365967326481,0.01099927694918318
San Juan Capistrano,35911,0.01169852588344866,0.008860736841715913
Placentia,51233,0.016689888240002372,0.008365573663945101
Brea,43255,0.014090939742378987,0.00828062611877591
Cypress,49006,0.015964410889261926,0.008001938261965795
Aliso Viejo,50887,0.016577173752639913,0.007704780583145413
Laguna Beach,22827,0.007436224286193159,0.005280346896298727
Ladera Ranch,22980,0.007486066241587541,0.004906835899873419
Laguna Niguel,66385,0.021625870646117883,0.0036132219967663784
Villa Park,5790,0.0018861759590422917,0.0029222053816241175
Los Alamitos,11399,0.0037133885590886154,0.002876530150702359
Dana Point,33577,0.01093819174037358,0
La Palma,15428,0.005025893384474003,0
Midway City,8485,0.002764111055694965,0
